id,name,host_id,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_log,reviews_minmax,price_zscore,price_log_zscore,review_activity,price_per_person,long_stay_listing,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,review_activity_ordinal
360,Denver’s Peaceful Oasis for Travel Nurses & Nomads,666,17,11,15.0,5.0,"Denver, CO",1,2,1,1,Highland,39.766414642333984,-105.0020980834961,Entire guesthouse,2,1.0,1 bath,2.0,2.0,106.35,29.0,364.0,1,0,27,57,332,186,1,0,152,3,58,6168.0,2018-08-13,2025-08-18,4.98,4.97,4.95,4.99,4.99,4.98,4.9,2017-BFN-0002177,1,1,0,0,1.94,4.67609452432479,0.10344827586206896,-0.09680501892875233,-0.6672290375900412,High,53.175,0,True,False,False,False,2
364,Lodo / RiNo LOFT  via airport train,783,17,11,15.0,6.0,"Mesa, AZ",0,1,1,1,Five Points,39.76672,-104.97906,Entire loft,3,1.0,1.5 baths,1.0,,32.35,185.0,365.0,1,23,53,83,358,87,0,0,176,0,0,0.0,2009-05-18,2016-04-26,4.85,4.78,4.81,4.95,4.96,4.65,4.71,not listed,1,1,0,0,0.42,3.507057772361633,0.04838709677419355,-0.1390200891881401,-2.1706391036477894,High,10.783333333333333,1,True,False,False,False,2
592,private,933,17,11,15.0,5.0,"Denver, CO",1,1,1,1,North Park Hill,39.75481,-104.91106,Private room in home,2,1.0,1 shared bath,,1.0,80.0,2.0,365.0,1,18,30,41,221,221,29,0,136,32,203,16240.0,2009-02-21,2026-05-30,4.9,4.81,4.62,4.95,4.96,4.84,4.88,2021-BFN-0000578,1,0,1,0,1.05,4.394449154672439,0.12291434927697442,-0.11183700678462892,-1.029431922215215,High,40.0,0,False,False,True,False,2
686,Alexandra's Queen Bed Room Long-term Rental Only,990,17,11,15.0,5.0,"Denver, CO",0,1,1,1,North Capitol Hill,39.74695,-104.97838,Private room in home,1,1.0,1 private bath,,2.0,44.27,30.0,120.0,1,6,28,58,148,252,0,0,148,2,0,0.0,2008-08-28,2025-05-14,4.77,4.75,4.8,4.86,4.91,4.87,4.82,not listed,1,0,1,0,1.16,3.8126445614478675,0.14015572858731926,-0.1322200400328441,-1.7776469637556895,High,44.27,1,False,False,True,False,2
1940,"Baker Studio Pet-friendly, Walkable, Patio",2150,17,10,9.0,7.0,"Denver, CO",1,2,1,1,Baker,39.72020510811656,-104.99749898910522,Entire guesthouse,2,1.0,1 bath,,1.0,191.72,1.0,1125.0,1,6,28,58,328,278,45,4,153,43,255,48889.0,2017-01-24,2026-06-26,4.97,4.96,4.98,4.99,4.99,4.9,4.9,2018-BFN-0002596,2,2,0,0,2.42,5.261238358306616,0.1546162402669633,-0.04810366017140189,0.08528034983734933,High,95.86,0,True,False,False,False,2
31503,Highland Park Guest House,135298,16,1,15.0,5.0,"Denver, CO",1,1,1,1,West Highland,39.76179,-105.02845,Entire guest suite,2,1.0,1 bath,1.0,1.0,94.75,4.0,1125.0,1,0,0,12,258,211,26,2,81,23,208,19708.0,2010-09-10,2026-06-13,4.9,4.9,4.98,4.95,4.98,4.89,4.88,2020-BFN-0000193,1,1,0,0,1.1,4.561740628060756,0.11735261401557286,-0.10342251642887258,-0.8142909656667818,High,47.375,0,True,False,False,False,2
154999,Midland Lofts 209: In the Heart of Downtown,460083844,4,1,4.0,1.0,"Denver, CO",0,33,1,1,CBD,39.74439,-104.98927,Entire condo,2,1.0,1 bath,1.0,1.0,101.66,30.0,1125.0,1,0,17,47,322,14,0,0,142,1,0,0.0,2011-08-04,2025-05-17,4.77,4.54,4.77,4.77,4.92,4.92,4.69,not listed,30,30,0,0,0.08,4.631422557132157,0.00778642936596218,-0.09948054162492165,-0.7246782880393737,Medium,50.83,1,True,False,False,False,1
192430,Treetop View Room East City Park 1-2 months,923646,14,10,14.0,10.0,"Denver, CO",0,1,1,1,South Park Hill,39.7435,-104.93753,Private room in rental unit,1,1.0,1 shared bath,,1.0,35.47,29.0,58.0,1,8,38,68,158,134,2,0,158,2,116,4115.0,2011-08-22,2025-11-15,4.69,4.75,4.73,4.82,4.84,4.77,4.74,not listed,1,0,1,0,0.74,3.596490004820589,0.07452725250278086,-0.1372402105501767,-2.0556270492508473,High,35.47,0,False,False,True,False,2
370209,Private room in the nest - w/bathroom,269892,15,8,10.0,11.0,"Denver, CO",1,2,1,1,Baker,39.7172,-104.99767,Private room in townhouse,4,1.0,1 private bath,,1.0,102.71,1.0,730.0,1,24,52,56,327,237,37,9,147,28,255,26191.0,2015-07-19,2026-06-27,4.99,4.99,4.95,4.96,4.99,4.93,4.95,2017-BFN-0008931,2,1,1,0,1.78,4.641598542601643,0.13181312569521692,-0.09888154400637629,-0.7115917200070245,High,25.6775,0,False,False,True,False,2
477016,Private room In the heart of Denver,10951,17,3,14.0,1.0,"Denver, CO",0,2,1,1,City Park West,39.74348,-104.97089,Private room in home,2,1.5,1.5 shared baths,,1.0,78.67,3.0,30.0,1,7,30,53,139,468,28,3,139,30,196,15419.0,2012-06-30,2026-06-21,4.88,4.85,4.82,4.93,4.91,4.88,4.86,2019-BFN-0009249,1,0,1,0,2.75,4.3778931033922746,0.26028921023359286,-0.11259573710145304,-1.0507234120738267,High,39.335,0,False,False,True,False,2
